,Country_x,code,GDP,C,E,P,S,X,elev,government_effectiveness,Conflict Stock Displacement,Conflict New Displacements,Disaster New Displacements,percent_arable_land,prevalence_undernourishment,political_stability,rule_of_law,Country_y,voice_and_accountability
149,Maldives,MDV,3697351594,19,16.8,22.2,10.7,6.7,,-0.361664385,,,,13,8.9,0.679096162,-0.530172229,Maldives,-0.372216314
150,Mali,MLI,14388360064,20.4,23.1,21.3,16.5,8.5,343.7438,-1.099087954,62000,19000,,5.254099771,4.9,-1.713988781,-0.644296169,Mali,-0.161402777
151,Malta,MLT,11217780149,9.7,11.4,10,8,3.9,,1.028361678,,,,28.03125,2.5,1.125496984,1.193639755,Malta,1.18426621
152,Marshall Islands,MHL,183121300,,,,,,,-1.558408737,,,1200,11.11111111,..,0.989585757,-0.222078681,Marshall Islands,1.154827714
153,Mauritania,MRT,5391475277,23.4,20.5,23.7,17.2,8.2,276.0194,-0.991504014,,,,0.436596488,5.7,-0.589508355,-0.860369444,Mauritania,-0.895422757
154,Mauritius,MUS,12803445934,9.8,12.9,11.6,6.9,4.9,,1.04363656,,,,36.94581281,5.2,0.667965949,0.912838042,Mauritius,0.940896153
155,Mexico,MEX,1.30E+12,18.8,17.4,18.1,11,5.8,1110.936,0.19623448,281000,9000,18000,11.82802541,4.4,-0.853918791,-0.422825068,Mexico,0.000316119
156,"Micronesia, Fed. Sts.",FSM,317999400,15.2,24.8,15.7,10.7,8.2,,-0.497500807,,,,2.857142857,..,0.984550714,-0.280935526,"Micronesia, Fed. Sts.",1.110941887
157,Middle East & North Africa,MEA,3.56E+12,,,,,,,,,,,4.705053679,8.028675285,,,,
158,Middle East & North Africa (excluding high income),MNA,1.59E+12,,,,,,,,,,,5.665352818,8.67396005,,,,
159,Middle East & North Africa (IDA & IBRD countries),TMN,1.58E+12,,,,,,,,,,,5.661890898,8.67396005,,,,
160,Middle income,MIC,2.83E+13,,,,,,,,,,,11.45988724,10.89480543,,,,
161,Moldova,MDA,7983271111,20.9,18.8,17.7,10.3,7.4,139.3979,-0.418404162,,,,55.27836933,8.1,-0.158987761,-0.247836754,Moldova,0.011545338
162,Monaco,MCO,..,,,,,,,..,,,,..,..,1.023347855,..,Monaco,0.993912756
163,Mongolia,MNG,12226514722,13.8,13.9,15.9,8.3,6.2,1527.99,-0.43550086,,,,0.365096939,18.3,0.791901171,-0.344739795,Mongolia,0.241444647
164,Montenegro,MNE,4587928884,17.6,11.4,12.7,8.4,5.6,,0.265190095,,,,0.649070632,2.5,0.219455272,0.081718199,Montenegro,0.160300255
165,Morocco,MAR,1.10E+11,19.4,19.5,19,11.3,5.2,909.5137,-0.074534334,,,1700,18.21644634,4.1,-0.446265608,-0.065144658,Morocco,-0.686271131
166,Mozambique,MOZ,16961127046,18.6,23.8,22.6,13.8,7.1,345.2476,-0.722668052,,,21000,7.184821588,26.8,-0.336002737,-0.810333848,Mozambique,-0.24599041
